schema_version,sample_id,source_row,food_name,category,before_path,after_path,before_mass_g,after_mass_g,leftover_fraction,observer_score,before_width,before_height,after_width,after_height,before_sha256,after_sha256,duplicate_group,is_valid,exclusion_reason,outer_fold,source_doi,dataset_version,license
1.0,lefood-0001,2,Bubur,000,leftover dataset/data_before/000/000_000_DSC_0016_bef.JPG,leftover dataset/data_after/000/000_000_DSC_0032_aft.JPG,343,330,0.96209912536443154,1,676,492,716,545,da16b313053fe9a96133f0c799cdd680a7ab35fdcec25a1c7e72261bd87e9534,9c9049859fc2553d65d5bfe61275a81e0203be2b09b38d3c7da159a6dbe4edca,,true,,4,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0002,3,Nasi,001,leftover dataset/data_before/001/001_001_DSC_0059_bef.JPG,leftover dataset/data_after/001/001_001_DSC_0108_aft.JPG,130,122,0.93846153846153846,3,685,491,673,481,ed8e9846057521cd8a326ac3bdab374ae4a9f5997615d68a433f19a3530e5f31,93f8b8dbfb48ab8ee816c39888ecdfdfbd81adf4dad91af207934cef14219b08,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0003,4,Nasi,001,leftover dataset/data_before/001/001_002_DSC_0066_bef.JPG,leftover dataset/data_after/001/001_002_DSC_0095_aft.JPG,135,127,0.94074074074074077,1,673,477,671,476,ff4a5d1e401f542a0109324732401c2ece8c9da6928248e48a5d0d671a6a83e7,8153e0cf9b0423b89c61ba6873d9ea287411f61ef539bca1ea9dce4bbf18b73d,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0004,5,Nasi,001,leftover dataset/data_before/001/001_003_DSC_0067_bef.JPG,leftover dataset/data_after/001/001_003_DSC_0097_aft.JPG,146,1,0.0068493150684931503,7,689,494,686,502,4f5637b806942b47159f2ad1895f4166e1199558da52bd5ae85ebf485cc4a119,16a80aeb4d41014a4b0f9ddc3744b8dcbf4e20b84cbdb8e70b29386e2c849c43,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0005,6,Nasi,001,leftover dataset/data_before/001/001_008_DSC_0055_bef.JPG,leftover dataset/data_after/001/001_008_DSC_0101_aft.JPG,139,25,0.17985611510791366,6,688,493,670,480,d2797717f4138fa6c0fe3e7eecb830ed973349420552d11baa50b6f25f28158a,9095d4f4be316a31dcbd5267e44e464e4ebeb7c589a8104f755c7bc85058901b,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0006,7,Nasi,001,leftover dataset/data_before/001/001_009_DSC_0128_bef.JPG,leftover dataset/data_after/001/001_009_DSC_0165_aft.JPG,170,169,0.99411764705882355,1,703,520,708,532,5631929222d6fe2b314b86d3f41f5d722b2b12cecab6aa65def7ef61b974442a,f342e284d78c96db8531e4e42fcad8d13635c267ad6610c45d262aed650fb517,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0007,8,Nasi,001,leftover dataset/data_before/001/001_010_DSC_0160_bef.JPG,leftover dataset/data_after/001/001_010_DSC_0169_aft.JPG,173,54,0.31213872832369943,7,695,518,713,518,86ec6704609151b420c1403a92c2f45a7cb3af2cc82177690f66f89539fe26b6,bb2c42845a257cb56c3ea7ea00861d25cf478d4127e476c3c75951ee398f00f9,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0008,9,Nasi,001,leftover dataset/data_before/001/001_012_DSC_0222_bef.JPG,leftover dataset/data_after/001/001_012_DSC_0260_aft.JPG,138,1,0.007246376811594203,7,682,512,723,536,256338ba5ff904112ee063f0724fb93164fea1f1459bb614c879bc4c4fa36862,d3d9d597129ec55efbc32e3d98c8ef357711be4a6a71ba1cff323870da92b220,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0009,10,Nasi,001,leftover dataset/data_before/001/001_013_DSC_0190_bef.JPG,leftover dataset/data_after/001/001_013_DSC_0228_aft.JPG,127,71,0.55905511811023623,5,683,509,691,499,5f5ad096c9560cdb83702f469c80511d3704212b7b15c9db02cc4683a18d5a8d,87b054e630fbb826dfa17408bfbee1a29477a5332066d9a493da99c5b78a14f8,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
1.0,lefood-0010,11,Nasi,001,leftover dataset/data_before/001/001_014_DSC_0188_bef.JPG,leftover dataset/data_after/001/001_014_DSC_0238_aft.JPG,141,93,0.65957446808510634,5,672,491,711,522,cfbd5a99bd473a71f85cf7274fe0beca80635a070c07cc7ee7c652a7d2e8b35c,9d028c8ae4b8e50db7228f260c7c1137f84a2edc39ca41513246b77e366f455c,,true,,0,10.17632/cchsk79jkt.1,LeFood-Set v1,CC BY 4.0
