source_row,dataset_id,food_name,category,before_filename,before_mass_g,after_filename,after_mass_g,observer_score,status,reason
2,1,Bubur,000,000_000_DSC_0016_bef.JPG,343,000_000_DSC_0032_aft.JPG,330,1,matched_valid,
3,2,Nasi,001,001_001_DSC_0059_bef.JPG,130,001_001_DSC_0108_aft.JPG,122,3,matched_valid,
4,3,Nasi,001,001_002_DSC_0066_bef.JPG,135,001_002_DSC_0095_aft.JPG,127,1,matched_valid,
5,4,Nasi,001,001_003_DSC_0067_bef.JPG,146,001_003_DSC_0097_aft.JPG,1,7,matched_valid,
6,5,Nasi,001,001_008_DSC_0055_bef.JPG,139,001_008_DSC_0101_aft.JPG,25,6,matched_valid,
7,6,Nasi,001,001_009_DSC_0128_bef.JPG,170,001_009_DSC_0165_aft.JPG,169,1,matched_valid,
8,7,Nasi,001,001_010_DSC_0160_bef.JPG,173,001_010_DSC_0169_aft.JPG,54,7,matched_valid,
9,8,Nasi,001,001_012_DSC_0222_bef.JPG,138,001_012_DSC_0260_aft.JPG,1,7,matched_valid,
10,9,Nasi,001,001_013_DSC_0190_bef.JPG,127,001_013_DSC_0228_aft.JPG,71,5,matched_valid,
11,10,Nasi,001,001_014_DSC_0188_bef.JPG,141,001_014_DSC_0238_aft.JPG,93,5,matched_valid,
12,11,Nasi,001,001_015_DSC_0198_bef.JPG,123,001_015_DSC_0241_aft.JPG,106,4,matched_valid,
13,12,Nasi,001,001_021_DSC_0278_bef.JPG,135,001_021_DSC_0326_aft.JPG,17,5,matched_valid,
14,13,Nasi,001,001_022_DSC_0279_bef.JPG,179,001_022_DSC_0322_aft.JPG,94,4,matched_valid,
15,14,Nasi,001,001_023_DSC_0268_bef.JPG,184,001_023_DSC_0338_aft.JPG,0,7,matched_valid,
16,15,Nasi,001,001_026_DSC_0269_bef.JPG,186,001_026_DSC_0320_aft.JPG,186,1,matched_valid,
17,16,Nasi,001,001_027_DSC_0350_bef.JPG,156,001_027_DSC_0421_aft.JPG,68,4,matched_valid,
18,17,Nasi,001,001_028_DSC_0351_bef.JPG,146,001_028_DSC_0411_aft.JPG,6,6,matched_valid,
19,18,Nasi,001,001_029_DSC_0345_bef.JPG,180,001_029_DSC_0391_aft.JPG,48,7,matched_valid,
20,19,Nasi,001,001_030_DSC_0344_bef.JPG,133,001_030_DSC_0416_aft.JPG,0,7,matched_valid,
21,20,Nasi,001,001_031_DSC_0343_bef.JPG,184,001_031_DSC_0393_aft.JPG,181,3,matched_valid,
22,21,Nasi,001,001_036_DSC_0429_bef.JPG,146,001_036_DSC_0477_aft.JPG,68,5,matched_valid,
23,22,Nasi,001,001_037_DSC_0430_bef.JPG,159,001_037_DSC_0479_aft.JPG,0,7,matched_valid,
24,23,Nasi,001,001_038_DSC_0431_bef.JPG,154,001_038_DSC_0478_aft.JPG,0,7,matched_valid,
25,24,Nasi,001,001_044_DSC_0521_bef.JPG,166,001_044_DSC_0581_aft.JPG,145,3,matched_valid,
26,25,Nasi,001,001_045_DSC_0522_bef.JPG,159,001_045_DSC_0579_aft.JPG,0,6,matched_valid,
27,26,Nasi,001,001_046_DSC_0523_bef.JPG,177,001_046_DSC_0573_aft.JPG,66,5,matched_valid,
28,27,Nasi,001,001_049_DSC_0514_bef.JPG,166,001_049_DSC_0516_aft.JPG,166,1,matched_valid,
29,28,Nasi,001,001_050_DSC_0515_bef.JPG,196,001_050_DSC_0517_aft.JPG,196,1,matched_valid,
30,29,Nasi,001,001_051_DSC_0645_bef.JPG,126,001_051_DSC_0687_aft.JPG,122,1,matched_valid,
31,30,Nasi,001,001_052_DSC_0606_bef.JPG,102,001_052_DSC_0654_aft.JPG,101,1,matched_valid,
32,31,Nasi,001,001_053_DSC_0610_bef.JPG,103,001_053_DSC_0660_aft.JPG,8,6,matched_valid,
33,32,Nasi,001,001_054_DSC_0612_bef.JPG,168,001_054_DSC_0664_aft.JPG,0,7,matched_valid,
34,33,Nasi,001,001_055_DSC_0649_bef.JPG,176,001_055_DSC_0672_aft.JPG,48,5,matched_valid,
35,34,Nasi,001,001_062_DSC_0752_bef.JPG,237,001_062_DSC_0806_aft.JPG,74,4,matched_valid,
36,35,Nasi,001,001_063_DSC_0751_bef.JPG,145,001_063_DSC_0811_aft.JPG,0,7,matched_valid,
37,36,Nasi,001,001_064_DSC_0738_bef.JPG,158,001_064_DSC_0790_aft.JPG,81,4,matched_valid,
38,37,Nasi,001,001_065_DSC_0743_bef.JPG,156,001_065_DSC_0787_aft.JPG,0,7,matched_valid,
39,38,Nasi,001,001_066_DSC_0716_bef.JPG,142,001_066_DSC_0761_aft.JPG,0,7,matched_valid,
40,39,Nasi,001,001_067_DSC_0755_bef.JPG,153,001_067_DSC_0765_aft.JPG,18,6,matched_valid,
41,40,Nasi,001,001_074_DSC_0824_bef.JPG,150,001_074_DSC_0879_aft.JPG,0,7,matched_valid,
42,41,Nasi,001,001_075_DSC_0821_bef.JPG,147,001_075_DSC_0909_aft.JPG,112,4,matched_valid,
43,43,Nasi,001,001_077_DSC_0841_bef.JPG,149,001_077_DSC_0878_aft.JPG,79,4,matched_valid,
44,44,Nasi,001,001_078_DSC_0842_bef.JPG,114,001_078_DSC_0873_aft.JPG,0,7,matched_valid,
45,45,Nasi,001,001_079_DSC_0843_bef.JPG,178,001_079_DSC_0872_aft.JPG,38,7,matched_valid,
46,46,Nasi,001,001_084_DSC_0922_bef.JPG,175,001_084_DSC_0973_aft.JPG,88,4,matched_valid,
47,47,Nasi,001,001_085_DSC_0923_bef.JPG,184,001_085_DSC_0977_aft.JPG,12,6,matched_valid,
48,48,Nasi,001,001_086_DSC_0924_bef.JPG,168,001_086_DSC_0981_aft.JPG,83,5,matched_valid,
49,49,Nasi,001,001_087_DSC_0921_bef.JPG,155,001_087_DSC_0988_aft.JPG,0,7,matched_valid,
50,50,Nasi,001,001_088_DSC_0961_bef.JPG,171,001_088_DSC_0989_aft.JPG,126,3,matched_valid,
51,51,Nasi,001,001_095_DSC_0054_bef.JPG,130,001_095_DSC_0094_aft.JPG,0,7,matched_valid,
52,52,Nasi,001,001_096_DSC_0055_bef.JPG,130,001_096_DSC_0088_aft.JPG,128,1,matched_valid,
53,53,Nasi,001,001_097_DSC_0056_bef.JPG,131,001_097_DSC_0085_aft.JPG,25,5,matched_valid,
54,54,Nasi,001,001_098_DSC_0057_bef.JPG,124,001_098_DSC_0079_aft.JPG,0,7,matched_valid,
55,55,Nasi,001,001_105_DSC_0164_bef.JPG,119,001_105_DSC_0181_aft.JPG,66,3,matched_valid,
56,56,Nasi,001,001_106_DSC_0165_bef.JPG,147,001_106_DSC_0183_aft.JPG,0,7,matched_valid,
57,57,Nasi,001,001_107_DSC_0163_bef.JPG,163,001_107_DSC_0186_aft.JPG,0,7,matched_valid,
58,58,Nasi,001,001_108_DSC_0162_bef.JPG,127,001_108_DSC_0192_aft.JPG,113,1,matched_valid,
59,59,Nasi,001,001_109_DSC_0159_bef.JPG,128,001_109_DSC_0170_aft.JPG,111,1,matched_valid,
60,60,Nasi,001,001_110_DSC_0160_bef.JPG,132,001_110_DSC_0174_aft.JPG,0,7,matched_valid,
61,61,Nasi,001,001_116_DSC_0225_bef.JPG,121,001_116_DSC_0272_aft.JPG,112,1,matched_valid,
62,62,Nasi,001,001_117_DSC_0248_bef.JPG,120,001_117_DSC_0302_aft.JPG,10,6,matched_valid,
63,63,Nasi,001,001_118_DSC_0249_bef.JPG,129,001_118_DSC_0306_aft.JPG,128,1,matched_valid,
64,64,Nasi,001,001_119_DSC_0257_bef.JPG,110,001_119_DSC_0268_aft.JPG,0,7,matched_valid,
65,65,Nasi,001,001_125_DSC_0339_bef.JPG,100,001_125_DSC_0396_aft.JPG,97,1,matched_valid,
66,66,Nasi,001,001_126_DSC_0340_bef.JPG,123,001_126_DSC_0390_aft.JPG,14,6,matched_valid,
67,67,Nasi,001,001_127_DSC_0341_bef.JPG,199,001_127_DSC_0393_aft.JPG,32,5,matched_valid,
68,68,Nasi,001,001_128_DSC_0321_bef.JPG,148,001_128_DSC_0371_aft.JPG,31,5,matched_valid,
69,69,Nasi,001,001_129_DSC_0323_bef.JPG,158,001_129_DSC_0377_aft.JPG,146,2,matched_valid,
70,70,Nasi,001,001_134_DSC_0416_bef.JPG,124,001_134_DSC_0487_aft.JPG,52,3,matched_valid,
71,71,Nasi,001,001_135_DSC_0414_bef.JPG,129,001_135_DSC_0484_aft.JPG,100,3,matched_valid,
72,72,Nasi,001,001_136_DSC_0415_bef.JPG,132,001_136_DSC_0479_aft.JPG,9,6,matched_valid,
73,73,Nasi,001,001_137_DSC_0435_bef.JPG,121,001_137_DSC_0455_aft.JPG,0,7,matched_valid,
74,74,Nasi,001,001_144_DSC_0549_bef.JPG,173,001_144_DSC_0586_aft.JPG,172,1,matched_valid,
75,75,Nasi,001,001_145_DSC_0548_bef.JPG,135,001_145_DSC_0591_aft.JPG,0,7,matched_valid,
76,76,Nasi,001,001_146_DSC_0550_bef.JPG,134,001_146_DSC_0598_aft.JPG,61,5,matched_valid,
77,77,Nasi,001,001_147_DSC_0551_bef.JPG,125,001_147_DSC_0580_aft.JPG,3,7,matched_valid,
