sample_id,original_after_path,wrong_after_path,source_sample_id,rule,scope
lefood-0001,leftover dataset/data_after/000/000_000_DSC_0032_aft.JPG,leftover dataset/data_after/004/004_159_DSC_0107_aft.JPG,lefood-0160,same_fold_singleton_swap,training
lefood-0002,leftover dataset/data_after/001/001_001_DSC_0108_aft.JPG,leftover dataset/data_after/001/001_002_DSC_0095_aft.JPG,lefood-0003,within_category_cyclic,training
lefood-0003,leftover dataset/data_after/001/001_002_DSC_0095_aft.JPG,leftover dataset/data_after/001/001_003_DSC_0097_aft.JPG,lefood-0004,within_category_cyclic,training
lefood-0004,leftover dataset/data_after/001/001_003_DSC_0097_aft.JPG,leftover dataset/data_after/001/001_008_DSC_0101_aft.JPG,lefood-0005,within_category_cyclic,training
lefood-0005,leftover dataset/data_after/001/001_008_DSC_0101_aft.JPG,leftover dataset/data_after/001/001_009_DSC_0165_aft.JPG,lefood-0006,within_category_cyclic,training
lefood-0006,leftover dataset/data_after/001/001_009_DSC_0165_aft.JPG,leftover dataset/data_after/001/001_010_DSC_0169_aft.JPG,lefood-0007,within_category_cyclic,training
lefood-0007,leftover dataset/data_after/001/001_010_DSC_0169_aft.JPG,leftover dataset/data_after/001/001_012_DSC_0260_aft.JPG,lefood-0008,within_category_cyclic,training
lefood-0008,leftover dataset/data_after/001/001_012_DSC_0260_aft.JPG,leftover dataset/data_after/001/001_013_DSC_0228_aft.JPG,lefood-0009,within_category_cyclic,training
lefood-0009,leftover dataset/data_after/001/001_013_DSC_0228_aft.JPG,leftover dataset/data_after/001/001_014_DSC_0238_aft.JPG,lefood-0010,within_category_cyclic,training
lefood-0010,leftover dataset/data_after/001/001_014_DSC_0238_aft.JPG,leftover dataset/data_after/001/001_015_DSC_0241_aft.JPG,lefood-0011,within_category_cyclic,training
lefood-0011,leftover dataset/data_after/001/001_015_DSC_0241_aft.JPG,leftover dataset/data_after/001/001_021_DSC_0326_aft.JPG,lefood-0012,within_category_cyclic,training
lefood-0012,leftover dataset/data_after/001/001_021_DSC_0326_aft.JPG,leftover dataset/data_after/001/001_022_DSC_0322_aft.JPG,lefood-0013,within_category_cyclic,training
lefood-0013,leftover dataset/data_after/001/001_022_DSC_0322_aft.JPG,leftover dataset/data_after/001/001_023_DSC_0338_aft.JPG,lefood-0014,within_category_cyclic,training
lefood-0014,leftover dataset/data_after/001/001_023_DSC_0338_aft.JPG,leftover dataset/data_after/001/001_026_DSC_0320_aft.JPG,lefood-0015,within_category_cyclic,training
lefood-0015,leftover dataset/data_after/001/001_026_DSC_0320_aft.JPG,leftover dataset/data_after/001/001_027_DSC_0421_aft.JPG,lefood-0016,within_category_cyclic,training
lefood-0016,leftover dataset/data_after/001/001_027_DSC_0421_aft.JPG,leftover dataset/data_after/001/001_028_DSC_0411_aft.JPG,lefood-0017,within_category_cyclic,training
lefood-0017,leftover dataset/data_after/001/001_028_DSC_0411_aft.JPG,leftover dataset/data_after/001/001_029_DSC_0391_aft.JPG,lefood-0018,within_category_cyclic,training
lefood-0018,leftover dataset/data_after/001/001_029_DSC_0391_aft.JPG,leftover dataset/data_after/001/001_030_DSC_0416_aft.JPG,lefood-0019,within_category_cyclic,training
lefood-0019,leftover dataset/data_after/001/001_030_DSC_0416_aft.JPG,leftover dataset/data_after/001/001_031_DSC_0393_aft.JPG,lefood-0020,within_category_cyclic,training
lefood-0020,leftover dataset/data_after/001/001_031_DSC_0393_aft.JPG,leftover dataset/data_after/001/001_036_DSC_0477_aft.JPG,lefood-0021,within_category_cyclic,training
lefood-0021,leftover dataset/data_after/001/001_036_DSC_0477_aft.JPG,leftover dataset/data_after/001/001_037_DSC_0479_aft.JPG,lefood-0022,within_category_cyclic,training
lefood-0022,leftover dataset/data_after/001/001_037_DSC_0479_aft.JPG,leftover dataset/data_after/001/001_038_DSC_0478_aft.JPG,lefood-0023,within_category_cyclic,training
lefood-0023,leftover dataset/data_after/001/001_038_DSC_0478_aft.JPG,leftover dataset/data_after/001/001_044_DSC_0581_aft.JPG,lefood-0024,within_category_cyclic,training
lefood-0024,leftover dataset/data_after/001/001_044_DSC_0581_aft.JPG,leftover dataset/data_after/001/001_045_DSC_0579_aft.JPG,lefood-0025,within_category_cyclic,training
lefood-0025,leftover dataset/data_after/001/001_045_DSC_0579_aft.JPG,leftover dataset/data_after/001/001_046_DSC_0573_aft.JPG,lefood-0026,within_category_cyclic,training
lefood-0026,leftover dataset/data_after/001/001_046_DSC_0573_aft.JPG,leftover dataset/data_after/001/001_049_DSC_0516_aft.JPG,lefood-0027,within_category_cyclic,training
lefood-0027,leftover dataset/data_after/001/001_049_DSC_0516_aft.JPG,leftover dataset/data_after/001/001_050_DSC_0517_aft.JPG,lefood-0028,within_category_cyclic,training
lefood-0028,leftover dataset/data_after/001/001_050_DSC_0517_aft.JPG,leftover dataset/data_after/001/001_051_DSC_0687_aft.JPG,lefood-0029,within_category_cyclic,training
lefood-0029,leftover dataset/data_after/001/001_051_DSC_0687_aft.JPG,leftover dataset/data_after/001/001_052_DSC_0654_aft.JPG,lefood-0030,within_category_cyclic,training
lefood-0030,leftover dataset/data_after/001/001_052_DSC_0654_aft.JPG,leftover dataset/data_after/001/001_053_DSC_0660_aft.JPG,lefood-0031,within_category_cyclic,training
lefood-0031,leftover dataset/data_after/001/001_053_DSC_0660_aft.JPG,leftover dataset/data_after/001/001_054_DSC_0664_aft.JPG,lefood-0032,within_category_cyclic,training
lefood-0032,leftover dataset/data_after/001/001_054_DSC_0664_aft.JPG,leftover dataset/data_after/001/001_055_DSC_0672_aft.JPG,lefood-0033,within_category_cyclic,training
lefood-0033,leftover dataset/data_after/001/001_055_DSC_0672_aft.JPG,leftover dataset/data_after/001/001_062_DSC_0806_aft.JPG,lefood-0034,within_category_cyclic,training
lefood-0034,leftover dataset/data_after/001/001_062_DSC_0806_aft.JPG,leftover dataset/data_after/001/001_063_DSC_0811_aft.JPG,lefood-0035,within_category_cyclic,training
lefood-0035,leftover dataset/data_after/001/001_063_DSC_0811_aft.JPG,leftover dataset/data_after/001/001_064_DSC_0790_aft.JPG,lefood-0036,within_category_cyclic,training
lefood-0036,leftover dataset/data_after/001/001_064_DSC_0790_aft.JPG,leftover dataset/data_after/001/001_065_DSC_0787_aft.JPG,lefood-0037,within_category_cyclic,training
lefood-0037,leftover dataset/data_after/001/001_065_DSC_0787_aft.JPG,leftover dataset/data_after/001/001_066_DSC_0761_aft.JPG,lefood-0038,within_category_cyclic,training
lefood-0038,leftover dataset/data_after/001/001_066_DSC_0761_aft.JPG,leftover dataset/data_after/001/001_067_DSC_0765_aft.JPG,lefood-0039,within_category_cyclic,training
lefood-0039,leftover dataset/data_after/001/001_067_DSC_0765_aft.JPG,leftover dataset/data_after/001/001_074_DSC_0879_aft.JPG,lefood-0040,within_category_cyclic,training
lefood-0040,leftover dataset/data_after/001/001_074_DSC_0879_aft.JPG,leftover dataset/data_after/001/001_075_DSC_0909_aft.JPG,lefood-0041,within_category_cyclic,training
lefood-0041,leftover dataset/data_after/001/001_075_DSC_0909_aft.JPG,leftover dataset/data_after/001/001_077_DSC_0878_aft.JPG,lefood-0043,within_category_cyclic,training
lefood-0043,leftover dataset/data_after/001/001_077_DSC_0878_aft.JPG,leftover dataset/data_after/001/001_078_DSC_0873_aft.JPG,lefood-0044,within_category_cyclic,training
lefood-0044,leftover dataset/data_after/001/001_078_DSC_0873_aft.JPG,leftover dataset/data_after/001/001_079_DSC_0872_aft.JPG,lefood-0045,within_category_cyclic,training
